"","V1"
"因為沒",5
"國高中",5
"在一個",5
"大概是",5
"女同事",5
"如果沒",5
"婚年齡",5
"孩之後",5
"孩但我",5
"孩兒們",5
"孩小孩",5
"孩就是",5
"孩所以",5
"孩的女",5
"孩長大",5
"家庭不",5
"家立業",5
"家裡的",5
"小孩又",5
"小孩所",5
"小孩沒",5
"小孩那",5
"小孩都",5
"就是想",5
"很自私",5
"得現在",5
"得自己",5
"從國中",5
"必須要",5
"怎麼辦",5
"想生一",5
"想要生",5
"成家立",5
"我不是",5
"我可以",5
"我為什",5
"我爸媽",5
"我認為",5
"我身邊",5
"所以不",5
"找不到",5
"是希望",5
"是應該",5
"會一直",5
"會慢慢",5
"會照顧",5
"會自己",5
"會開始",5
"有了小",5
"有經濟",5
"有興趣",5
"有辦法",5
"朋友們",5
"果不生",5
"比別人",5
"沒問題",5
"沒有這",5
"濟問題",5
"濟能力",5
"為沒有",5
"為自己",5
"照顧你",5
"爸媽媽",5
"爸爸媽",5
"玻尿酸",5
"現在我",5
"生活的",5
"生真的",5
"的不想",5
"的不是",5
"的人不",5
"的但是",5
"的只有",5
"的女人",5
"的婚姻",5
"的幸福",5
"的所以",5
"的收入",5
"的日子",5
"的環境",5
"的經濟",5
"的覺得",5
"的話我",5
"看到他",5
"看到這",5
"真的會",5
"社會上",5
"種想法",5
"給孩子",5
"經濟問",5
"經濟能",5
"而不是",5
"自己一",5
"自己不",5
"自己去",5
"自己就",5
"自己有",5
"自己都",5
"自私的",5
"覺得你",5
"覺得可",5
"覺得好",5
"覺得有",5
"覺得現",5
"說不定",5
"說如果",5
"買房買",5
"跟小孩",5
"跟老公",5
"輩子的",5
"辦法給",5
"這句話",5
"這種想",5
"適婚年",5
"還是可",5
"還是有",5
"還比較",5
"都可以",5
"都是這",5
"願不願",5
"養寵物",5
"麼時候",5
"點特質",5
"15萬",4
"200",4
"35歲",4
"450",4
"man",4
"一個不",4
"一個好",4
"一個朋",4
"一直覺",4
"一筆錢",4
"一群人",4
"一開始",4
"上看到",4
"下來就",4
"下來自",4
"下小孩",4
"不出來",4
"不到的",4
"不希望",4
"不快樂",4
"不想照",4
"不是嗎",4
"不曉得",4
"不然你",4
"不然就",4
"不考慮",4
"不要說",4
"不起來",4
