"word","n"
"啥",8
"生病",8
"生產",8
"生活費",8
"生下",8
"生育",8
"失去",8
"事業",8
"睡",8
"送",8
"聽到",8
"唯一",8
"維持",8
"我媽",8
"下去",8
"享受",8
"想像",8
"新聞",8
"養老",8
"要求",8
"要生",8
"一生",8
"慾望",8
"原",8
"原本",8
"早",8
"早就",8
"只會",8
"重要",8
"自由",8
"a",8
"solo",8
"20",7
"爸爸",7
"不斷",7
"差不多",7
"打工",7
"導致",7
"地球",7
"點",7
"兒子",7
"方式",7
"費用",7
"複製",7
"乾媽",7
"幹嘛",7
"狗",7
"鼓勵",7
"怪",7
"觀念",7
"規劃",7
"還沒",7
"好奇",7
"後面",7
"回",7
"回家",7
"回來",7
"婚後",7
"幾個",7
"家事",7
"可",7
"累",7
"裡",7
"例如",7
"兩年",7
"亂",7
"面對",7
"你生",7
"年齡",7
"年薪",7
"唸書",7
"怕",7
"拼",7
"品質",7
"普通",7
"親戚",7
"缺乏",7
"確定",7
"人類",7
"認同",7
"如何",7
"剩下",7
"實在",7
"算",7
"所有",7
"臺灣",7
"提到",7
"提升",7
"通通",7
"完整",7
"晚生",7
"穩定",7
"問過",7
"物質",7
"下一代",7
"小心",7
"興趣",7
"一代",7
"遺傳",7
"有個",7
"越",7
"真",7
"直接",7
"中國",7
"自然",7
"足夠",7
"c",7
"12",6
"15",6
"24",6
"500",6
"阿公",6
"爸",6
"拜託",6
"伴侶",6
"寶寶",6
"崩潰",6
"標準",6
"部分",6
"曾經",6
"吵架",6
"成",6
"吃飯",6
"充滿",6
"出門",6
"從國",6
"大部分",6
"倒",6
"地",6
"地方",6
"低",6
"第一次",6
"懂",6
"動物",6
"多生",6
"房",6
"房貸",6
"概念",6
"乾脆",6
"剛剛",6
"告訴",6
"各種",6
"更是",6
"共識",6
"過年",6
"還好",6
"還會",6
"花費",6
"既然",6
"家族",6
"減少",6
"簡單",6
"建議",6
"將來",6
"階級",6
"解決",6
"今年",6
"久",6
"就生",6
"考量",6
"另",6
"路",6
"麻煩",6
"買房子",6
"蠻",6
"沒關係",6
"那個",6
"男",6
"男人",6
"能夠",6
"貧窮",6
"婆婆",6
"期待",6
"輕鬆",6
"情緒",6
"全家",6
"確實",6
"人家",6
"任何",6
"生命",6
"適合",6
"台",6
"特質",6
"投資",6
"文章",6
"無",6
"下降",6
"相處",6
"小時",6
"小時候",6
"心態",6
"薪水",6
"學習",6
"學校",6
"爺爺",6
"一半",6
"一間",6
"一篇",6
"依然",6
"意外",6
"因",6
"永遠",6
"有時",6
"育兒",6
"運動褲",6
"再來",6
"早點",6
"責任感",6
"這輩子",6
"這時",6
"準備",6
"自卑",6
"子",6
"總是",6
"最高",6
"cp",6
"4",5
"欸",5
"愛情",5
"爸爸媽媽",5
"板上",5
"綁",5
"包包",5
"別",5
"別說",5
"玻",5
"餐廳",5
"差",5
"產後",5
"廠商",5
"超",5
"成家",5
"成家立業",5
"出現",5
"創造",5
"刺激",5
"存錢",5
"存在",5
"大同",5
"大學",5
"當初",5
"的確",5
"發展",5
"反對",5
"風險",5
"福利",5
"復健",5
"敢",5
"感到",5
"個性",5
"鬼島",5
"過去",5
"害",5
"很難",5
"很窮",5
"後代",5
"互相",5
"懷疑",5
"活著",5
"或許",5
"幾歲",5
"家中",5
"假日",5
"假設",5
"檢查",5
"健康",5
"教養",5
"結論",5
"聚餐",5
"看法",5
"可憐",5
"困難",5
"浪費",5
"老師",5
"類似",5
"理解",5
"林可彤",5
"鄰居",5
"沒錯",5
"沒錢",5
"每月",5
"麵",5
"明確",5
"母親",5
"拿給",5
"哪裡",5
"難",5
"念",5
"尿酸",5
"女同事",5
"偏",5
"平常",5
"起",5
"千萬",5
"前提",5
"請問",5
"全世界",5
"人會",5
"忍受",5
"如",5
"沙子",5
"生個",5
"生物",5
"世上",5
"適婚年齡",5
"雙薪",5
"說不定",5
"說法",5
"鬆弛",5
"算了",5
"隨著",5
"台北",5
"特別",5
"體力",5
"挺",5
"同時",5
"玩具",5
"文",5
"我家",5
"我連",5
"我能",5
"現實",5
"想過",5
"嚮往",5
"小妹",5
"寫",5
"心",5
"修復",5
"學費",5
"養到",5
"要花",5
"一位",5
"醫院",5
"以為",5
"陰道",5
"擁有",5
"願不願意",5
"月子",5
"在家",5
"早生",5
"怎麼辦",5
"齋主",5
"長",5
"找個",5
"這句",5
"正常",5
"隻",5
"直到",5
"職場",5
"至於",5
"中心",5
"種種",5
"追求",5
"嘴",5
"坐在",5
"做到",5
"and",5
"qq",5
"the",5
"16",4
"26",4
"35",4
"6",4
"7",4
"8",4
"癌症",4
"安樂死",4
"安排",4
"八成",4
"擺",4
"版",4
"保護",4
"保養品",4
"飽",4
"報導",4
"悲觀",4
"逼",4
"必要",4
"畢業",4
"變老",4
"表妹",4
"表示",4
"別生",4
"補",4
"補助",4
"不給",4
"不缺",4
"不孝",4
"不再",4
"參加",4
"參考",4
"殘酷",4
"超過",4
"成功",4
"成就",4
"承擔",4
"出去",4
"處理",4
"傳統觀念",4
"從小",4
"存屁",4
"存屁存",4
"答案",4
"大部份",4
"大量",4
"大樓",4
"帶來",4
"單純",4
"誕生",4
"當時",4
"當作",4
"第一",4
"電鍋",4
"電視",4
"電影",4
"獨立",4
"讀書",4
"隊友",4
"對不起",4
"而言",4
"二十年",4
"房間",4
"放棄",4
"非",4
"奉獻",4
"負面",4
"婦女",4
"乾淨",4
"感嘆",4
"幹",4
"高級",4
"高齡產婦",4
"隔壁",4
"給我",4
"顧",4
"觀察",4
"國安",4
"還算",4
"毫無",4
"合理",4
"很煩",4
"換",4
"回報",4
"回答",4
"回歸",4
"婚禮",4
"活",4
"活在",4
"機率",4
"即便",4
"極度",4
"繼續",4
"加油",4
"間",4
"降級",4
"接著",4
